m_t_2,jts2,v2,q2,acceleration
-0.41358,68.10463192858833,30.450000000000003,43.06640625,60.29579067121687
-0.41358,72.60902645983833,30.450000000000003,43.06640625,0.0
-0.38979,72.74354794421333,29.82,44.05242919921875,-122.5442520910319
-0.38979,72.74354794421333,29.82,44.05242919921875,0.0
-0.47031,75.90321591296333,29.634,45.02952575683594,-38.34260977118167
-0.47031,75.90321591296333,29.634,45.02952575683594,0.0
-0.46116,78.99574520983833,28.728,45.97023010253906,-172.47287264421195
-0.46116,78.99574520983833,28.728,45.97023010253906,0.0
-0.50142,79.93690731921333,28.097999999999995,46.87488555908203,-126.48062638024864
-0.50142,79.93690731921333,28.097999999999995,46.87488555908203,0.0
-0.50691,80.60927060046333,27.126,47.72563934326172,-194.2834299420387
-0.50691,80.60927060046333,27.126,47.72563934326172,0.0
-0.52338,81.61781552233833,26.31,48.61793518066406,-153.41229554427358
-0.52338,81.61781552233833,26.31,48.61793518066406,0.0
-0.49593,83.09681942858833,25.182,49.41581726074219,-225.3296044746175
-0.49593,83.09681942858833,25.182,49.41581726074219,0.0
-0.549,83.63466122546333,24.618,50.20030975341797,-118.98734177215276
-0.549,83.63466122546333,24.618,50.20030975341797,0.0
-0.51789,82.69349911608833,23.208,50.98686218261719,-280.70873979693414
-0.51789,82.69349911608833,23.208,50.98686218261719,0.0
-0.57462,86.86171200671333,22.566,51.70646667480469,-107.17863105175788
-0.57462,86.86171200671333,22.566,51.70646667480469,0.0
-0.56364,85.58412411608833,21.54,52.39208221435547,-205.7349107679845
-0.56364,85.58412411608833,21.54,52.39208221435547,0.0
-0.57462,87.87001278796333,20.7,53.07048797607422,-158.97047691144206
-0.57462,87.87001278796333,20.7,53.07048797607422,0.0
-0.56364,86.72719052233833,19.59,53.70906829833984,-212.19652074172345
-0.56364,86.72719052233833,19.59,53.70906829833984,0.0
-0.57462,86.72719052233833,18.618,54.324989318847656,-199.50738916255327
-0.57462,87.06337216296333,18.618,54.324989318847656,0.0
-0.61122,90.42470028796332,17.706,54.91722106933594,-180.34407751631855
-0.61122,90.42470028796332,17.706,54.91722106933594,0.0
-0.57828,88.94569638171333,16.722,55.445594787597656,-209.31716656031287
-0.57828,88.94569638171333,16.722,55.445594787597656,0.0
-0.61488,89.55067685046333,15.653999999999998,55.97843170166016,-217.9147112834201
-0.61488,89.55067685046333,15.653999999999998,55.97843170166016,0.0
-0.59109,90.42470028796332,14.544,56.47144317626953,-223.429951690827
-0.59109,90.42470028796332,14.544,56.47144317626953,0.0
-0.5856,91.23158505358832,13.626,56.90540313720703,-183.5632873425305
-0.5856,91.23158505358832,13.626,56.90540313720703,0.0
-0.6222000000000001,91.23158505358832,12.828,57.325286865234375,-163.42412451361966
-0.6222000000000001,91.23158505358832,12.828,57.325286865234375,0.0
-0.6185400000000001,90.42470028796332,11.621999999999998,57.72079467773438,-241.73180998195417
-0.6185400000000001,90.42470028796332,11.621999999999998,57.72079467773438,0.0
-0.62037,91.56752255358832,10.68,58.07441711425781,-183.66153246246225
-0.62037,91.56752255358832,10.68,58.07441711425781,0.0
-0.6459900000000001,92.64320614733832,9.852,58.396797180175774,-169.1867592970923
-0.6459900000000001,92.64320614733832,9.852,58.396797180175774,0.0
-0.6331800000000001,93.45009091296332,8.718,58.68072509765625,-214.28571428572036
-0.6331800000000001,93.45009091296332,8.718,58.68072509765625,0.0
-0.6368400000000001,92.03822567858832,7.836000000000001,58.94886016845703,-177.1440048202424
-0.6368400000000001,92.03822567858832,7.836000000000001,58.94886016845703,0.0
-0.6313500000000001,91.56752255358832,6.738,59.17716979980468,-219.907871019436
-0.6313500000000001,91.56752255358832,6.738,59.17716979980468,0.0
-0.6368400000000001,92.64320614733832,5.658,59.38007354736328,-215.82733812949604
-0.6368400000000001,92.64320614733832,5.658,59.38007354736328,0.0
-0.64965,93.78627255358832,4.776,59.541778564453125,-177.3577317514697
-0.64965,93.78627255358832,4.776,59.541778564453125,0.0
-0.6459900000000001,93.58461239733832,3.738,59.673614501953125,-209.105560032224
-0.6459900000000001,93.58461239733832,3.738,59.673614501953125,0.0
-0.6441600000000001,93.45009091296332,2.8380000000000005,59.77180480957031,-179.10447761193024
-0.6441600000000001,93.45009091296332,2.8380000000000005,59.77180480957031,0.0
-0.62586,93.04677060046332,1.86,59.84355926513672,-193.433544303791
-0.62586,93.04677060046332,1.86,59.84355926513672,0.0
-0.6405,92.37440731921332,1.38,59.8919677734375,-98.66392600205312
-0.6405,92.37440731921332,1.38,59.8919677734375,0.0
-0.6130500000000001,91.09706356921332,0.8160000000000001,59.92252349853516,-116.0493827160526
-0.6130500000000001,91.09706356921332,0.8160000000000001,59.92252349853516,0.0
-0.60024,90.08851864733832,0.5940000000000001,59.94174957275391,-44.27602712405199
-0.60024,90.08851864733832,0.5940000000000001,59.94174957275391,0.0
-0.60573,89.95424130358833,0.474,59.95788574218751,-24.590163934426275
